Peak Wavelength,Sigma,Error,Distance from the centre
6615.54,1.64857,0.088,4.264
6615.72,1.69867,0.092,4.797
6615.97,1.67477,0.25,5.33
6615.77,1.56156,0.27,5.863
6615.1,0.975233,0.19,3.198
6615.14,1.4482,0.24,2.665
6615.72,1.63192,0.05,1.599
6615.72,1.63192,0.05,1.599
6615.16,1.76651,0.088,1.066
6613.72,1.76228,0.12,0.533
6613.96,1.6881,0.16,0.0
6612.29,2.04497,0.33,-0.533
6608.57,1.80109,0.14,-1.066
6608.18,1.80529,0.12,-1.599
6608.22,1.67056,0.14,-2.132
6607.87,1.60344,0.1,-2.665
6607.13,1.82058,0.12,-3.198
6606.9,1.73799,0.1,-3.731
6606.7,1.76173,0.11,-5.33
6606.48,1.77928,0.082,-5.863
6606.45,1.81537,0.079,-6.396
6606.57,1.8471,0.08,-6.929
6606.73,1.82612,0.099,-7.462
6606.83,1.87656,0.13,-7.995
6606.75,1.73987,0.11,-8.528
6606.34,1.75972,0.094,-9.061
6606.14,1.72255,0.11,-9.594
6615.27,1.76257,0.2,9.594
6615.39,1.51373,0.21,8.528
6615.46,1.88965,0.29,12.79
6606.75,1.73987,0.11,-8.528
6615.21,1.81988,0.2,15.46
6616.42,0.787069,0.21,11.73
6615.13,1.36996,0.26,12.26
6615.46,1.88965,0.29,12.79
6606.17,1.58429,0.39,-13.32
6606.14,1.72255,0.11,-9.594
6606.14,1.72255,0.11,-9.594
6615.29,1.30256,0.26,7.995
